tick,c_ranges,c_write,c_write_b,c_read,c_read_b,s_ranges,s_write,s_write_b,s_read,s_read_b,c_lease_moves,c_replica_moves,c_replica_b_moves
2022-03-21 11:07:00 +0000 UTC,20002,2016000,386971518,12768000,2451474636,659416,126574140,12526919,2405183964,20673,2390,6929973
2022-03-21 11:07:10 +0000 UTC,20002,2064000,396191163,13072000,2509844452,674821,129533400,12820755,2461605775,20680,2430,7203747
2022-03-21 11:07:20 +0000 UTC,20002,2112000,405392901,13376000,2568212252,690281,132496486,13114492,2517995990,20684,2464,7448529
2022-03-21 11:07:30 +0000 UTC,20002,2160000,414578958,13680000,2626603433,705725,135452220,13408184,2574406868,20684,2493,7648958
2022-03-21 11:07:40 +0000 UTC,20002,2208000,423793689,13984000,2684997684,721158,138413960,13701948,2630834332,20717,2549,8046931
2022-03-21 11:07:50 +0000 UTC,20002,2256000,433002408,14288000,2743343291,736602,141377283,13994852,2687044697,20780,2662,8834653
2022-03-21 11:08:00 +0000 UTC,20002,2304000,442216002,14592000,2801732939,752002,144333063,14287126,2743184779,20797,2691,9044671
2022-03-21 11:08:10 +0000 UTC,20002,2352000,451430724,14896000,2860101253,767376,147285823,14579145,2799252644,20799,2697,9090691
2022-03-21 11:08:20 +0000 UTC,20002,2400000,460644549,15200000,2918516038,782684,150224146,14870854,2855307806,20804,2720,9265005
2022-03-21 11:08:30 +0000 UTC,20002,2448000,469860390,15504000,2976887665,798018,153168063,15162890,2911378283,20811,2742,9430132
2022-03-21 11:08:40 +0000 UTC,20002,2496000,479057400,15808000,3035261071,813419,156118773,15454599,2967392899,20819,2766,9625850
2022-03-21 11:08:50 +0000 UTC,20002,2544000,488268081,16112000,3093604501,828725,159056094,15746301,3023375888,20884,2885,10595386
2022-03-21 11:09:00 +0000 UTC,20002,2592000,497487402,16416000,3152005644,844063,162001611,16036956,3079209846,20884,2907,10782427
2022-03-21 11:09:10 +0000 UTC,20002,2640000,506724999,16720000,3210344272,859355,164945372,16327717,3135009647,20951,3033,11857212
2022-03-21 11:09:20 +0000 UTC,20002,2688000,515959662,17024000,3268743821,874585,167875858,16617340,3190649065,20956,3071,12183261
2022-03-21 11:09:30 +0000 UTC,20002,2736000,525185985,17328000,3327098074,889827,170804212,16907088,3246268294,20956,3099,12416649
2022-03-21 11:09:40 +0000 UTC,20002,2784000,534397914,17632000,3385489540,905048,173724676,17196616,3301886172,20961,3151,12879547
2022-03-21 11:09:50 +0000 UTC,20002,2832000,543622587,17936000,3443868875,920326,176660978,17486037,3357468240,20965,3190,13225486
